,idf_weights
gitu,6.158456460942846
holoid,6.158456460942846
apakah,6.158456460942846
jt,6.158456460942846
emang,6.158456460942846
nge,6.158456460942846
halo,6.158456460942846
deh,6.2010160753616415
amp,6.2010160753616415
yaa,6.2010160753616415
bulan,6.2010160753616415
suka,6.2010160753616415
in,6.222994982080417
liat,6.245467837932476
pas,6.245467837932476
clip,6.245467837932476
para,6.268457356157175
janji,6.268457356157175
lord,6.291987853567369
dia,6.291987853567369
ama,6.291987853567369
terima,6.291987853567369
pada,6.291987853567369
fanart,6.291987853567369
semuanya,6.291987853567369
for,6.291987853567369
youtube,6.291987853567369
nwaiting,6.291987853567369
langsung,6.291987853567369
wa,6.316085405146429
lucu,6.316085405146429
iya,6.316085405146429
teman,6.316085405146429
anak,6.316085405146429
vtuberindonesia,6.316085405146429
menemani,6.316085405146429
streaming,6.340778017736801
sampe,6.340778017736801
ternyata,6.340778017736801
tuh,6.340778017736801
ngabuburit,6.340778017736801
ni,6.340778017736801
njangan,6.36609582572109
boleh,6.36609582572109
gambar,6.36609582572109
gini,6.36609582572109
lt,6.36609582572109
miti,6.36609582572109
harus,6.392071312124351
cantik,6.392071312124351
bgt,6.392071312124351
ape,6.392071312124351
collab,6.392071312124351
punya,6.392071312124351
manis,6.418739559206512
malah,6.418739559206512
ngobrol,6.418739559206512
mu,6.418739559206512
om,6.418739559206512
video,6.418739559206512
turu,6.418739559206512
tahun,6.418739559206512
is,6.446138533394627
beb,6.446138533394627
my,6.446138533394627
virtual,6.446138533394627
freetalk,6.446138533394627
lewat,6.4743094103613235
gt,6.4743094103613235
to,6.4743094103613235
lagu,6.4743094103613235
buka,6.4743094103613235
streamnya,6.4743094103613235
ayo,6.4743094103613235
kobokan,6.4743094103613235
coba,6.503296947234575
reveal,6.503296947234575
loh,6.503296947234575
sombong,6.503296947234575
channel,6.503296947234575
waktu,6.503296947234575
seru,6.503296947234575
tunggu,6.503296947234575
schedule,6.503296947234575
sebelum,6.533149910384257
karaoke,6.533149910384257
lama,6.533149910384257
atas,6.533149910384257
menjadi,6.533149910384257
nggak,6.533149910384257
mulai,6.533149910384257
ayang,6.533149910384257
kena,6.533149910384257
maaf,6.56392156905101
mending,6.56392156905101
genshin,6.56392156905101
art,6.56392156905101
tanggal,6.56392156905101
kenapa,6.56392156905101
masuk,6.56392156905101
via,6.56392156905101
otsu,6.56392156905101
anda,6.56392156905101
bangun,6.56392156905101
envtuber,6.56392156905101
mari,6.56392156905101
klo,6.59567026736559
enak,6.59567026736559
sampai,6.59567026736559
mabar,6.59567026736559
cuma,6.59567026736559
met,6.59567026736559
menunggu,6.59567026736559
salah,6.59567026736559
makin,6.59567026736559
nunggu,6.59567026736559
youtuber,6.6284600901885815
hati,6.6284600901885815
selalu,6.6284600901885815
jumat,6.6284600901885815
bener,6.6284600901885815
kabarnya,6.6284600901885815
vtuberen,6.6284600901885815
iri,6.6284600901885815
mungkin,6.6284600901885815
pm,6.6284600901885815
yagoo,6.6284600901885815
livestream,6.6284600901885815
www,6.662361641864263
doang,6.662361641864263
dalam,6.662361641864263
dek,6.662361641864263
semangka,6.662361641864263
kek,6.662361641864263
minta,6.662361641864263
mental,6.697452961675532
nsemoga,6.697452961675532
konten,6.697452961675532
uwu,6.697452961675532
cover,6.697452961675532
saja,6.697452961675532
kaki,6.697452961675532
pertama,6.733820605846407
naeruseni,6.733820605846407
btw,6.733820605846407
setelah,6.733820605846407
depan,6.733820605846407
dapat,6.733820605846407
good,6.771560933829255
sini,6.771560933829255
wkwkwkwk,6.771560933829255
keren,6.771560933829255
disini,6.771560933829255
bahasa,6.771560933829255
nyuk,6.771560933829255
san,6.771560933829255
mulu,6.771560933829255
july,6.771560933829255
with,6.771560933829255
ntar,6.771560933829255
bagus,6.771560933829255
sekalian,6.771560933829255
lanjut,6.771560933829255
gas,6.771560933829255
nemenin,6.771560933829255
ikut,6.771560933829255
nijisanji,6.771560933829255
part,6.8107816469825355
nselamat,6.8107816469825355
bilang,6.8107816469825355
it,6.8107816469825355
nbtw,6.8107816469825355
aeruseni,6.8107816469825355
oh,6.8107816469825355
nmalam,6.8107816469825355
sarapan,6.8107816469825355
kayak,6.851603641502791
full,6.851603641502791
like,6.851603641502791
asik,6.851603641502791
sabar,6.851603641502791
maen,6.851603641502791
telat,6.851603641502791
gaes,6.851603641502791
katanya,6.851603641502791
senpai,6.851603641502791
yak,6.851603641502791
pagiiii,6.851603641502791
nkobokanaeru,6.851603641502791
ramah,6.851603641502791
soalnya,6.851603641502791
bentar,6.851603641502791
of,6.851603641502791
at,6.851603641502791
masa,6.851603641502791
biasa,6.894163255921587
wangy,6.894163255921587
seperti,6.894163255921587
pelanggan,6.894163255921587
and,6.894163255921587
meme,6.894163255921587
time,6.894163255921587
abis,6.894163255921587
let,6.894163255921587
cek,6.894163255921587
join,6.894163255921587
suara,6.894163255921587
gua,6.894163255921587
me,6.894163255921587
nmakasih,6.894163255921587
go,6.9386150184924205
sendiri,6.9386150184924205
idvtuber,6.9386150184924205
th,6.9386150184924205
thank,6.9386150184924205
mobile,6.9386150184924205
gold,6.9386150184924205
beneran,6.9386150184924205
ka,6.9386150184924205
play,6.9386150184924205
undangan,6.9386150184924205
tuber,6.9386150184924205
belajar,6.9386150184924205
mantap,6.9386150184924205
impact,6.9386150184924205
jgn,6.9386150184924205
amat,6.9386150184924205
boo,6.9386150184924205
chan,6.9386150184924205
ganti,6.9386150184924205
ultah,6.9386150184924205
ygy,6.985135034127314
moona,6.985135034127314
balik,6.985135034127314
alhamdulillah,6.985135034127314
kobokerz,6.985135034127314
pun,6.985135034127314
wkwkw,6.985135034127314
kucing,6.985135034127314
bawa,6.985135034127314
gue,6.985135034127314
menit,6.985135034127314
foto,6.985135034127314
donathon,6.985135034127314
lg,6.985135034127314
teh,6.985135034127314
ngga,6.985135034127314
ingin,6.985135034127314
hehe,6.985135034127314
pramuka,6.985135034127314
selesai,6.985135034127314
kata,7.033925198296746
jd,7.033925198296746
nterima,7.033925198296746
beli,7.033925198296746
ramadhan,7.033925198296746
berapa,7.033925198296746
baca,7.033925198296746
indah,7.033925198296746
awas,7.033925198296746
ntanggal,7.033925198296746
hujan,7.033925198296746
bantu,7.033925198296746
kakak,7.033925198296746
juz,7.033925198296746
nyoba,7.033925198296746
ngapain,7.033925198296746
nyanyi,7.033925198296746
parah,7.033925198296746
versi,7.033925198296746
silahkan,7.033925198296746
by,7.033925198296746
yok,7.033925198296746
tanda,7.033925198296746
pak,7.033925198296746
anying,7.033925198296746
gen,7.033925198296746
yopiiii,7.033925198296746
today,7.033925198296746
date,7.033925198296746
morning,7.033925198296746
njam,7.033925198296746
cepet,7.085218492684296
tolong,7.085218492684296
pekora,7.085218492684296
selama,7.085218492684296
rumah,7.085218492684296
word,7.085218492684296
kemarin,7.085218492684296
beliau,7.085218492684296
kira,7.085218492684296
kawan,7.085218492684296
ah,7.085218492684296
yopp,7.085218492684296
on,7.085218492684296
oke,7.085218492684296
salam,7.085218492684296
random,7.085218492684296
legends,7.085218492684296
lain,7.085218492684296
temenin,7.085218492684296
naku,7.085218492684296
gabut,7.085218492684296
tanpa,7.085218492684296
butuh,7.085218492684296
vtuberdebut,7.085218492684296
senin,7.085218492684296
sumpah,7.139285713954572
keknya,7.139285713954572
kau,7.139285713954572
ok,7.139285713954572
twitch,7.139285713954572
begitu,7.139285713954572
nkuy,7.139285713954572
ntapi,7.139285713954572
jepang,7.139285713954572
button,7.139285713954572
mirip,7.139285713954572
new,7.139285713954572
jg,7.139285713954572
kami,7.139285713954572
so,7.139285713954572
hmmm,7.139285713954572
ges,7.139285713954572
tumben,7.139285713954572
no,7.139285713954572
horror,7.139285713954572
traktir,7.139285713954572
skejulnya,7.139285713954572
baik,7.139285713954572
mama,7.139285713954572
kobobrok,7.139285713954572
chat,7.139285713954572
gila,7.139285713954572
ramaikan,7.19644412779452
minecraft,7.19644412779452
temen,7.19644412779452
nsankyu,7.19644412779452
nhololive,7.19644412779452
saatnya,7.19644412779452
hadir,7.19644412779452
dua,7.19644412779452
dimulai,7.19644412779452
aj,7.19644412779452
minna,7.19644412779452
yaaa,7.19644412779452
hanya,7.19644412779452
tinggal,7.19644412779452
twitter,7.19644412779452
kare,7.19644412779452
denger,7.19644412779452
update,7.19644412779452
hi,7.19644412779452
nada,7.19644412779452
air,7.19644412779452
ketika,7.19644412779452
model,7.19644412779452
ye,7.19644412779452
menjalankannya,7.19644412779452
sakit,7.257068749610956
saat,7.257068749610956
perayaan,7.257068749610956
tetap,7.257068749610956
mode,7.257068749610956
thanks,7.257068749610956
andi,7.257068749610956
telah,7.257068749610956
dikasih,7.257068749610956
mantra,7.257068749610956
lho,7.257068749610956
kembali,7.257068749610956
dompet,7.257068749610956
sekolah,7.257068749610956
bakalan,7.257068749610956
istirahat,7.257068749610956
anjing,7.257068749610956
sub,7.257068749610956
luck,7.257068749610956
ketemu,7.257068749610956
mommy,7.257068749610956
sebagai,7.257068749610956
pernah,7.257068749610956
belom,7.257068749610956
beristirahat,7.257068749610956
eh,7.257068749610956
duit,7.257068749610956
pagiiiii,7.257068749610956
jelas,7.257068749610956
wkwkwkw,7.257068749610956
maling,7.257068749610956
berpuasa,7.257068749610956
namanya,7.257068749610956
ketinggalan,7.257068749610956
kiwawa,7.257068749610956
tp,7.257068749610956
day,7.321607270748527
cukup,7.321607270748527
abang,7.321607270748527
tiba,7.321607270748527
kegiatan,7.321607270748527
naik,7.321607270748527
lalu,7.321607270748527
bestie,7.321607270748527
karna,7.321607270748527
sebuah,7.321607270748527
finally,7.321607270748527
upload,7.321607270748527
nini,7.321607270748527
cepat,7.321607270748527
gacha,7.321607270748527
menem,7.321607270748527
waiting,7.321607270748527
mah,7.321607270748527
ikutan,7.321607270748527
valorant,7.321607270748527
gpp,7.321607270748527
mbak,7.321607270748527
bermain,7.321607270748527
guerilla,7.321607270748527
bet,7.321607270748527
mencoba,7.321607270748527
jalan,7.321607270748527
inin,7.321607270748527
ulang,7.321607270748527
bukber,7.321607270748527
an,7.321607270748527
cara,7.321607270748527
zombie,7.321607270748527
nama,7.321607270748527
talk,7.321607270748527
dlu,7.321607270748527
dunia,7.321607270748527
this,7.390600142235478
tenang,7.390600142235478
re,7.390600142235478
kamis,7.390600142235478
kobooo,7.390600142235478
ne,7.390600142235478
traktiran,7.390600142235478
km,7.390600142235478
habis,7.390600142235478
nich,7.390600142235478
nhari,7.390600142235478
ngomong,7.390600142235478
harukolive,7.390600142235478
nhololiveid,7.390600142235478
cil,7.390600142235478
nkali,7.390600142235478
bagaimana,7.390600142235478
subscribe,7.390600142235478
tweet,7.390600142235478
tak,7.390600142235478
risu,7.390600142235478
stumble,7.390600142235478
waktunya,7.390600142235478
kayaknya,7.390600142235478
imsak,7.390600142235478
buset,7.390600142235478
wekidi,7.390600142235478
gamenya,7.390600142235478
nmari,7.390600142235478
review,7.390600142235478
ngeri,7.390600142235478
toc,7.390600142235478
nkita,7.390600142235478
waduh,7.390600142235478
here,7.390600142235478
ntime,7.390600142235478
qurban,7.390600142235478
lgi,7.390600142235478
penting,7.390600142235478
padahal,7.390600142235478
post,7.390600142235478
kuat,7.390600142235478
melihat,7.390600142235478
obat,7.390600142235478
korone,7.390600142235478
maksudnya,7.390600142235478
all,7.390600142235478
kurban,7.390600142235478
asmr,7.390600142235478
lihat,7.390600142235478
mencari,7.390600142235478
apaan,7.390600142235478
anjir,7.390600142235478
otw,7.390600142235478
masak,7.390600142235478
ospek,7.390600142235478
ndate,7.390600142235478
aman,7.4647081143892
allah,7.4647081143892
atuh,7.4647081143892
udel,7.4647081143892
be,7.4647081143892
pukul,7.4647081143892
tetep,7.4647081143892
kerja,7.4647081143892
seorang,7.4647081143892
mion,7.4647081143892
anjay,7.4647081143892
nice,7.4647081143892
moga,7.4647081143892
vtuberindo,7.4647081143892
adha,7.4647081143892
bstation,7.4647081143892
pulang,7.4647081143892
minum,7.4647081143892
watame,7.4647081143892
general,7.4647081143892
keluar,7.4647081143892
cerita,7.4647081143892
seneng,7.4647081143892
kurang,7.4647081143892
teteh,7.4647081143892
sus,7.4647081143892
kmu,7.4647081143892
wwww,7.4647081143892
biru,7.4647081143892
share,7.4647081143892
cebo,7.4647081143892
gws,7.4647081143892
nsemangat,7.4647081143892
pakai,7.4647081143892
asli,7.4647081143892
yo,7.4647081143892
lo,7.4647081143892
nasi,7.4647081143892
ngucapin,7.4647081143892
muncul,7.4647081143892
congratulations,7.4647081143892
hadiah,7.4647081143892
rendang,7.4647081143892
mereka,7.4647081143892
yt,7.4647081143892
back,7.4647081143892
biasanya,7.4647081143892
wow,7.544750822062737
hah,7.544750822062737
agak,7.544750822062737
hand,7.544750822062737
nnagatakouuta,7.544750822062737
see,7.544750822062737
berbuka,7.544750822062737
teori,7.544750822062737
assalamualaikum,7.544750822062737
koboo,7.544750822062737
happy,7.544750822062737
info,7.544750822062737
sorry,7.544750822062737
your,7.544750822062737
up,7.544750822062737
dengerin,7.544750822062737
adu,7.544750822062737
kemaren,7.544750822062737
spesial,7.544750822062737
nlive,7.544750822062737
mabok,7.544750822062737
awal,7.544750822062737
circle,7.544750822062737
ngantuk,7.544750822062737
mengaji,7.544750822062737
beda,7.544750822062737
server,7.544750822062737
jumatan,7.544750822062737
sirkel,7.544750822062737
sesuatu,7.544750822062737
maha,7.544750822062737
hidayat,7.544750822062737
gabisa,7.544750822062737
ngewa,7.544750822062737
rabu,7.544750822062737
akhir,7.544750822062737
nah,7.544750822062737
bintang,7.544750822062737
pov,7.544750822062737
staff,7.544750822062737
menuju,7.544750822062737
memang,7.544750822062737
nyang,7.544750822062737
lainnya,7.544750822062737
kenal,7.544750822062737
talent,7.544750822062737
am,7.544750822062737
deadline,7.544750822062737
nungguin,7.544750822062737
kaela,7.544750822062737
indomi,7.544750822062737
selasa,7.544750822062737
wait,7.544750822062737
neng,7.544750822062737
terlalu,7.544750822062737
izin,7.544750822062737
otsuyopi,7.631762199052366
indomie,7.631762199052366
teriak,7.631762199052366
inget,7.631762199052366
terimakasih,7.631762199052366
dukung,7.631762199052366
bro,7.631762199052366
npetualangan,7.631762199052366
begadang,7.631762199052366
sayangku,7.631762199052366
santai,7.631762199052366
nclip,7.631762199052366
support,7.631762199052366
en,7.631762199052366
sana,7.631762199052366
follow,7.631762199052366
mimpi,7.631762199052366
zeta,7.631762199052366
can,7.631762199052366
subscriber,7.631762199052366
legend,7.631762199052366
fall,7.631762199052366
brp,7.631762199052366
nakhirnya,7.631762199052366
segera,7.631762199052366
sebentar,7.631762199052366
jaga,7.631762199052366
kayanya,7.631762199052366
menggambar,7.631762199052366
ngimana,7.631762199052366
roboco,7.631762199052366
kelakuan,7.631762199052366
bohong,7.631762199052366
gede,7.631762199052366
kuning,7.631762199052366
baju,7.631762199052366
membership,7.631762199052366
kepada,7.631762199052366
lanjutin,7.631762199052366
penasaran,7.631762199052366
online,7.631762199052366
vanguard,7.631762199052366
skejull,7.631762199052366
pengumuman,7.631762199052366
dadakan,7.631762199052366
da,7.631762199052366
cuti,7.631762199052366
hmm,7.631762199052366
serunya,7.631762199052366
kirain,7.631762199052366
apanya,7.631762199052366
cimoy,7.631762199052366
sibuk,7.631762199052366
hai,7.631762199052366
mo,7.631762199052366
gatau,7.631762199052366
niat,7.631762199052366
gass,7.631762199052366
ndan,7.631762199052366
now,7.631762199052366
mahasiswa,7.631762199052366
tetangga,7.631762199052366
gais,7.631762199052366
night,7.631762199052366
ndi,7.631762199052366
lagunya,7.631762199052366
idul,7.631762199052366
dengki,7.631762199052366
sempet,7.727072378856691
asal,7.727072378856691
adek,7.727072378856691
sering,7.727072378856691
birthday,7.727072378856691
njir,7.727072378856691
oi,7.727072378856691
ngasih,7.727072378856691
syukuran,7.727072378856691
wr,7.727072378856691
imut,7.727072378856691
ae,7.727072378856691
setiap,7.727072378856691
hello,7.727072378856691
edisi,7.727072378856691
ngomongin,7.727072378856691
akun,7.727072378856691
apalagi,7.727072378856691
ma,7.727072378856691
undangannya,7.727072378856691
fun,7.727072378856691
shinichi,7.727072378856691
woi,7.727072378856691
harusnya,7.727072378856691
nguli,7.727072378856691
holo,7.727072378856691
gara,7.727072378856691
holocure,7.727072378856691
benar,7.727072378856691
sedikit,7.727072378856691
nyt,7.727072378856691
hunter,7.727072378856691
subscribers,7.727072378856691
gapapa,7.727072378856691
menjalankan,7.727072378856691
mendapatkan,7.727072378856691
walaupun,7.727072378856691
vtubersen,7.727072378856691
sekejul,7.727072378856691
blm,7.727072378856691
off,7.727072378856691
jan,7.727072378856691
skrg,7.727072378856691
streamer,7.727072378856691
usada,7.727072378856691
yuki,7.727072378856691
gaming,7.727072378856691
gta,7.727072378856691
aer,7.727072378856691
ingetin,7.727072378856691
nyobain,7.727072378856691
subreker,7.727072378856691
iopi,7.727072378856691
wajib,7.727072378856691
jaman,7.727072378856691
vall,7.727072378856691
link,7.727072378856691
viewer,7.727072378856691
bahagia,7.727072378856691
lets,7.727072378856691
demon,7.727072378856691
kotoba,7.727072378856691
premiere,7.727072378856691
tanya,7.727072378856691
nkobo,7.727072378856691
cosplay,7.727072378856691
mohon,7.727072378856691
kiara,7.727072378856691
terasa,7.727072378856691
ragisa,7.727072378856691
tumpengan,7.727072378856691
kelas,7.727072378856691
keliatan,7.727072378856691
order,7.727072378856691
dimengerti,7.727072378856691
muka,7.727072378856691
much,7.727072378856691
okeh,7.727072378856691
kaka,7.727072378856691
rilis,7.727072378856691
or,7.727072378856691
kalah,7.727072378856691
tengah,7.727072378856691
tempat,7.727072378856691
otra,7.727072378856691
wb,7.727072378856691
mumpung,7.727072378856691
pacar,7.727072378856691
astaga,7.727072378856691
komen,7.727072378856691
sabtu,7.727072378856691
oleh,7.727072378856691
pokemon,7.727072378856691
kawaii,7.727072378856691
beberapa,7.727072378856691
ayok,7.727072378856691
diem,7.727072378856691
rasa,7.727072378856691
audisi,7.727072378856691
kepala,7.727072378856691
kang,7.727072378856691
donk,7.727072378856691
ko,7.727072378856691
we,7.727072378856691
nyangka,7.727072378856691
kangen,7.727072378856691
perut,7.832432894514517
nangis,7.832432894514517
ch,7.832432894514517
sm,7.832432894514517
pula,7.832432894514517
monster,7.832432894514517
jika,7.832432894514517
py,7.832432894514517
otsukare,7.832432894514517
nightowls,7.832432894514517
makanan,7.832432894514517
tiap,7.832432894514517
meng,7.832432894514517
soal,7.832432894514517
anya,7.832432894514517
gepeng,7.832432894514517
rion,7.832432894514517
kebo,7.832432894514517
nsaya,7.832432894514517
celebration,7.832432894514517
kelar,7.832432894514517
nenek,7.832432894514517
la,7.832432894514517
centang,7.832432894514517
bocah,7.832432894514517
hampir,7.832432894514517
member,7.832432894514517
nyari,7.832432894514517
nnijisanji,7.832432894514517
reetalk,7.832432894514517
alarm,7.832432894514517
redebut,7.832432894514517
heh,7.832432894514517
kobocil,7.832432894514517
cocok,7.832432894514517
hahaha,7.832432894514517
wild,7.832432894514517
tskr,7.832432894514517
hasil,7.832432894514517
komrade,7.832432894514517
perasaan,7.832432894514517
rasanya,7.832432894514517
hallo,7.832432894514517
masi,7.832432894514517
rata,7.832432894514517
nhappy,7.832432894514517
raya,7.832432894514517
reality,7.832432894514517
motor,7.832432894514517
set,7.832432894514517
sesuai,7.832432894514517
mami,7.832432894514517
keras,7.832432894514517
horor,7.832432894514517
character,7.832432894514517
skem,7.832432894514517
kudanya,7.832432894514517
sepertinya,7.832432894514517
retweet,7.832432894514517
vs,7.832432894514517
hidup,7.832432894514517
neh,7.832432894514517
kesini,7.832432894514517
allista,7.832432894514517
badut,7.832432894514517
sis,7.832432894514517
serem,7.832432894514517
mantab,7.832432894514517
cuman,7.832432894514517
wih,7.832432894514517
alien,7.832432894514517
seputar,7.832432894514517
dh,7.832432894514517
bangga,7.832432894514517
cebokerz,7.832432894514517
jawa,7.832432894514517
bella,7.832432894514517
emak,7.832432894514517
tambah,7.832432894514517
susu,7.832432894514517
segini,7.832432894514517
bebas,7.832432894514517
fans,7.832432894514517
out,7.832432894514517
santuy,7.832432894514517
pa,7.832432894514517
looting,7.832432894514517
sankyu,7.832432894514517
kakinya,7.832432894514517
outer,7.832432894514517
brutal,7.832432894514517
agar,7.832432894514517
palak,7.832432894514517
waifu,7.832432894514517
love,7.832432894514517
sukses,7.832432894514517
bau,7.832432894514517
eng,7.832432894514517
strim,7.832432894514517
mimin,7.832432894514517
event,7.832432894514517
team,7.832432894514517
cakep,7.832432894514517
diri,7.832432894514517
star,7.832432894514517
do,7.832432894514517
subsnya,7.832432894514517
but,7.832432894514517
fi,7.832432894514517
npagi,7.832432894514517
duluan,7.832432894514517
bangunin,7.832432894514517
selanjutnya,7.832432894514517
sabi,7.832432894514517
pngtuber,7.832432894514517
nambah,7.832432894514517
anniversary,7.832432894514517
cari,7.832432894514517
laut,7.832432894514517
bapak,7.832432894514517
from,7.832432894514517
free,7.832432894514517
terbaru,7.832432894514517
papa,7.832432894514517
scam,7.832432894514517
lawan,7.832432894514517
flu,7.832432894514517
ehe,7.832432894514517
terakhir,7.832432894514517
drawing,7.832432894514517
worlds,7.832432894514517
ehek,7.9502159301709
duh,7.9502159301709
merayakan,7.9502159301709
dr,7.9502159301709
takut,7.9502159301709
dugem,7.9502159301709
omg,7.9502159301709
end,7.9502159301709
engga,7.9502159301709
tpi,7.9502159301709
take,7.9502159301709
mythia,7.9502159301709
mata,7.9502159301709
tu,7.9502159301709
aduh,7.9502159301709
comic,7.9502159301709
dm,7.9502159301709
sihh,7.9502159301709
nnanti,7.9502159301709
paham,7.9502159301709
bingung,7.9502159301709
simulator,7.9502159301709
mie,7.9502159301709
tonton,7.9502159301709
mudah,7.9502159301709
tarik,7.9502159301709
getting,7.9502159301709
capek,7.9502159301709
stress,7.9502159301709
deck,7.9502159301709
ceritanya,7.9502159301709
mendadak,7.9502159301709
fokus,7.9502159301709
sopan,7.9502159301709
nmaaf,7.9502159301709
pantes,7.9502159301709
amiiin,7.9502159301709
yago,7.9502159301709
fujiki,7.9502159301709
gampang,7.9502159301709
ucul,7.9502159301709
station,7.9502159301709
terjadi,7.9502159301709
nlanjut,7.9502159301709
yahh,7.9502159301709
uang,7.9502159301709
dikit,7.9502159301709
panjang,7.9502159301709
sma,7.9502159301709
fek,7.9502159301709
epel,7.9502159301709
yh,7.9502159301709
acara,7.9502159301709
menjelajah,7.9502159301709
diterima,7.9502159301709
over,7.9502159301709
ancrit,7.9502159301709
panas,7.9502159301709
untung,7.9502159301709
nraizubartender,7.9502159301709
skin,7.9502159301709
daripada,7.9502159301709
temani,7.9502159301709
tiktok,7.9502159301709
ms,7.9502159301709
dipipisin,7.9502159301709
ad,7.9502159301709
suatu,7.9502159301709
blue,7.9502159301709
suaranya,7.9502159301709
nkouutarts,7.9502159301709
sunbreak,7.9502159301709
nhalo,7.9502159301709
naga,7.9502159301709
pls,7.9502159301709
artwork,7.9502159301709
kedepan,7.9502159301709
warnet,7.9502159301709
semongko,7.9502159301709
roleplay,7.9502159301709
tugas,7.9502159301709
maap,7.9502159301709
push,7.9502159301709
keliling,7.9502159301709
aslinya,7.9502159301709
seminggu,7.9502159301709
kenalan,7.9502159301709
kun,7.9502159301709
nuntuk,7.9502159301709
se,7.9502159301709
rift,7.9502159301709
nudah,7.9502159301709
ny,7.9502159301709
karakter,7.9502159301709
keburu,7.9502159301709
ww,7.9502159301709
weaboonian,7.9502159301709
lancar,7.9502159301709
nvtuberuprising,7.9502159301709
sakura,7.9502159301709
kartu,7.9502159301709
nstart,7.9502159301709
week,7.9502159301709
produktif,7.9502159301709
kasi,7.9502159301709
wang,7.9502159301709
saran,7.9502159301709
