,tfidf
ntp,0.0
nsenang,0.0
ntime,0.0
nthank,0.0
nthanks,0.0
nthankyou,0.0
nthe,0.0
nthis,0.0
nti,0.0
ntidak,0.0
ntidurnya,0.0
ntingkah,0.0
ntotal,0.0
ntiradobeliven,0.0
nto,0.0
ntoc,0.0
ntoday,0.0
ntokino,0.0
ntomorrow,0.0
ntonight,0.0
ntonmabur,0.0
numpuk,0.0
nunggu,0.0
nungguin,0.0
nwaiting,0.0
nvtubers,0.0
nvtubersen,0.0
nvtuberuprising,0.0
nvtubestudio,0.0
nw,0.0
nwaduh,0.0
nwah,0.0
nwait,0.0
nwaktunya,0.0
nuntuk,0.0
nwalau,0.0
nwalaupun,0.0
nwangy,0.0
nwanna,0.0
nwarning,0.0
nwaw,0.0
nwazzup,0.0
nwe,0.0
nvtuberjpvtuberid,0.0
nvtuberindonesia,0.0
nvtuberindo,0.0
nvtuberid,0.0
nupdate,0.0
nutaitemitta,0.0
nutup,0.0
nuwaaaaaa,0.0
nuwuuauuwuaua,0.0
nvalo,0.0
nvalorant,0.0
nvangardoart,0.0
nvestiazeta,0.0
nvio,0.0
nvioletta,0.0
nvituber,0.0
nviverenoctisn,0.0
nvoice,0.0
nvolume,0.0
nvtuber,0.0
nvtuberdebut,0.0
ntetapi,0.0
ntetap,0.0
ntes,0.0
nsore,0.0
nsinners,0.0
nskardi,0.0
nskin,0.0
nskrg,0.0
nsnowdrop,0.0
nsoalnya,0.0
nsodara,0.0
nsolo,0.0
nsource,0.0
nstream,0.0
nspecial,0.0
nspesial,0.0
nsriasih,0.0
nss,0.0
nstart,0.0
nstarting,0.0
nstarts,0.0
nstay,0.0
nsini,0.0
nsiapkan,0.0
nsiapa,0.0
nsiap,0.0
nseneng,0.0
nsenenng,0.0
nsenin,0.0
nsenyumnya,0.0
nseperti,0.0
nsepertinya,0.0
nseru,0.0
nset,0.0
nsetelah,0.0
nsetiap,0.0
nsetidaknya,0.0
nshare,0.0
nshirakamifubukiookamimiohololive,0.0
nshoillust,0.0
nshort,0.0
nsial,0.0
nsiang,0.0
nstory,0.0
nstreamny,0.0
nterus,0.0
ntar,0.0
ntahun,0.0
ntakotime,0.0
ntambahan,0.0
ntangga,0.0
ntanggal,0.0
ntap,0.0
ntapi,0.0
ntaps,0.0
ntayang,0.0
nstreamnya,0.0
ntebakk,0.0
ntengkyu,0.0
ntentu,0.0
nterima,0.0
nterimakasih,0.0
nterkejut,0.0
nternyata,0.0
nterobosan,0.0
ntadi,0.0
nta,0.0
nt,0.0
nsyukurlah,0.0
nstrheam,0.0
nstumble,0.0
nsubaru,0.0
nsubmit,0.0
nsudah,0.0
nsuisyou,0.0
nsuka,0.0
nsukes,0.0
nsumber,0.0
nsunbreak,0.0
nsunday,0.0
nsunkumavtuberid,0.0
nsupport,0.0
nswiftylive,0.0
nsyarat,0.0
nsynthfo,0.0
nsyukur,0.0
overdress,0.0
overthinking,0.0
overlaynya,0.0
podium,0.0
pngtuber,0.0
pngtubers,0.0
pns,0.0
pny,0.0
po,0.0
pocket,0.0
podcast,0.0
podcastnya,0.0
pog,0.0
pm,0.0
pohon,0.0
poi,0.0
poin,0.0
point,0.0
pojokan,0.0
pokemon,0.0
pokok,0.0
pol,0.0
png,0.0
plya,0.0
prat,0.0
pley,0.0
plat,0.0
play,0.0
playa,0.0
played,0.0
player,0.0
playing,0.0
plays,0.0
please,0.0
plg,0.0
plus,0.0
pling,0.0
plis,0.0
pliss,0.0
plizz,0.0
plong,0.0
plongo,0.0
plot,0.0
pls,0.0
pola,0.0
polisiny,0.0
politik,0.0
powerwash,0.0
postingan,0.0
potato,0.0
potion,0.0
poto,0.0
potong,0.0
potret,0.0
pov,0.0
power,0.0
pp,0.0
polka,0.0
pr,0.0
pra,0.0
prabowo,0.0
pradana,0.0
praja,0.0
pramuka,0.0
pramukanya,0.0
prancis,0.0
posting,0.0
postin,0.0
post,0.0
positif,0.0
poll,0.0
poncornnsequel,0.0
pondok,0.0
pondokvtuberidvtuber,0.0
poni,0.0
ponny,0.0
pony,0.0
ponya,0.0
pooky,0.0
poopielive,0.0
populer,0.0
popupparade,0.0
por,0.0
pori,0.0
porsche,0.0
pose,0.0
posisi,0.0
plastikntehyungg,0.0
plants,0.0
plant,0.0
pi,0.0
phase,0.0
phasmo,0.0
phasmophobia,0.0
phelia,0.0
phoeni,0.0
phone,0.0
photo,0.0
phvtuber,0.0
piacchu,0.0
pihak,0.0
piagam,0.0
piano,0.0
pibuter,0.0
pic,0.0
picsart,0.0
pidato,0.0
piercing,0.0
piewer,0.0
pgn,0.0
pgi,0.0
pg,0.0
pewenpengen,0.0
pesantren,0.0
pesat,0.0
pesiar,0.0
pesing,0.0
pesona,0.0
pesta,0.0
petani,0.0
peternakan,0.0
petin,0.0
peting,0.0
petot,0.0
petrik,0.0
petshop,0.0
petualang,0.0
petualangan,0.0
petug,0.0
pew,0.0
pigi,0.0
pikir,0.0
planga,0.0
pituberr,0.0
pirk,0.0
pisan,0.0
pisang,0.0
pisode,0.0
pitiber,0.0
pitibir,0.0
pitub,0.0
pituber,0.0
pitubir,0.0
pikiran,0.0
pity,0.0
piw,0.0
piwers,0.0
pjsekai,0.0
pke,0.0
place,0.0
plan,0.0
planet,0.0
piring,0.0
pipol,0.0
pipis,0.0
pipinya,0.0
pikter,0.0
pilated,0.0
pilih,0.0
pilihan,0.0
pina,0.0
pinata,0.0
pinces,0.0
pindah,0.0
pinggang,0.0
pingin,0.0
pinjem,0.0
pink,0.0
pinned,0.0
pinnednya,0.0
pintar,0.0
pinter,0.0
pintu,0.0
prank,0.0
pratpritnya,0.0
pervtuberan,0.0
qiqi,0.0
puyuuh,0.0
puzzlenya,0.0
pv,0.0
pvz,0.0
py,0.0
pysqualia,0.0
qakakaka,0.0
qan,0.0
qna,0.0
puyu,0.0
qq,0.0
qualifying,0.0
qudisan,0.0
queen,0.0
quest,0.0
quick,0.0
quis,0.0
quit,0.0
puyumi,0.0
putus,0.0
prayer,0.0
pus,0.0
punyajuga,0.0
punyaku,0.0
punyamodel,0.0
punyamu,0.0
pura,0.0
purnama,0.0
purpybunny,0.0
purrrr,0.0
push,0.0
putukan,0.0
pusing,0.0
pusink,0.0
puspa,0.0
pusreng,0.0
put,0.0
puter,0.0
putri,0.0
putuber,0.0
quote,0.0
ququu,0.0
qur,0.0
rakjat,0.0
raining,0.0
rainshaman,0.0
raizu,0.0
raizubartender,0.0
rajin,0.0
rajiun,0.0
rajutan,0.0
rakit,0.0
rakjatnya,0.0
quraisy,0.0
rakyat,0.0
ralat,0.0
ralive,0.0
ramadachi,0.0
ramadan,0.0
ramadanmubarak,0.0
ramadhan,0.0
ramah,0.0
rainbow,0.0
rain,0.0
raimu,0.0
raid,0.0
qurban,0.0
qwq,0.0
qwqnlutiefiggy,0.0
qyta,0.0
ra,0.0
rabbal,0.0
rabu,0.0
racing,0.0
rada,0.0
radiant,0.0
radio,0.0
radjiman,0.0
raft,0.0
rage,0.0
ragisa,0.0
raha,0.0
rahasia,0.0
punya,0.0
punten,0.0
punk,0.0
produktif,0.0
princesse,0.0
print,0.0
pritalk,0.0
pritt,0.0
prize,0.0
prizes,0.0
pro,0.0
production,0.0
professional,0.0
prok,0.0
profilart,0.0
profile,0.0
profilnya,0.0
profit,0.0
program,0.0
progres,0.0
progress,0.0
project,0.0
princess,0.0
princes,0.0
primrose,0.0
primo,0.0
pre,0.0
predator,0.0
preman,0.0
premannn,0.0
premiere,0.0
pren,0.0
preorder,0.0
prequel,0.0
preview,0.0
pria,0.0
pribadi,0.0
priiit,0.0
prik,0.0
prikitiew,0.0
prikitiww,0.0
prikitiwww,0.0
prilive,0.0
projek,0.0
promosi,0.0
puni,0.0
pula,0.0
puber,0.0
publik,0.0
published,0.0
pudar,0.0
puja,0.0
pujaan,0.0
pukul,0.0
pukulin,0.0
pulaa,0.0
pronouns,0.0
pulak,0.0
pulang,0.0
pulau,0.0
pulih,0.0
puluhan,0.0
pun,0.0
pundak,0.0
punggung,0.0
puasanya,0.0
puasa,0.0
puas,0.0
puagi,0.0
propil,0.0
proseka,0.0
proses,0.0
prosessssnaeruseni,0.0
prot,0.0
proyek,0.0
proyel,0.0
prushka,0.0
ps,0.0
psikaneki,0.0
psikopath,0.0
pspspspspspspsnvtuber,0.0
pssssssssssst,0.0
pstii,0.0
pt,0.0
ptuber,0.0
pu,0.0
pesan,0.0
perutnya,0.0
overload,0.0
partner,0.0
papan,0.0
paporit,0.0
para,0.0
parah,0.0
pargoy,0.0
pariwisata,0.0
parodi,0.0
part,0.0
party,0.0
papa,0.0
paru,0.0
pas,0.0
pasar,0.0
pasca,0.0
pasifnya,0.0
pasopati,0.0
pasrah,0.0
pasrahn,0.0
papajadi,0.0
pap,0.0
pekomoonf,0.0
panique,0.0
pan,0.0
panart,0.0
panas,0.0
pandai,0.0
pandanganku,0.0
pangeran,0.0
panggil,0.0
panggung,0.0
panitia,0.0
pantun,0.0
panjang,0.0
panpan,0.0
pansos,0.0
pantas,0.0
pantauan,0.0
pantengin,0.0
pantes,0.0
pantesan,0.0
pass,0.0
passan,0.0
passing,0.0
pedulij,0.0
pecat,0.0
pecel,0.0
pedang,0.0
pedas,0.0
pede,0.0
pedes,0.0
peduli,0.0
peduliin,0.0
peedrun,0.0
password,0.0
peeps,0.0
pegulat,0.0
pejuang,0.0
pekaan,0.0
pekerja,0.0
peko,0.0
pekola,0.0
pekoland,0.0
peak,0.0
pe,0.0
pdhl,0.0
pcr,0.0
pasti,0.0
pastii,0.0
pastinya,0.0
pasutri,0.0
pat,0.0
patah,0.0
patahin,0.0
patpat,0.0
patut,0.0
paus,0.0
pawang,0.0
pawapuart,0.0
pay,0.0
payah,0.0
pbb,0.0
pc,0.0
pcoming,0.0
pamer,0.0
paman,0.0
pamali,0.0
padat,0.0
pacarnya,0.0
pack,0.0
packnya,0.0
pada,0.0
padahal,0.0
padahalnlocation,0.0
padamu,0.0
padang,0.0
padet,0.0
pagih,0.0
padok,0.0
padus,0.0
pag,0.0
page,0.0
pagehhhhhhh,0.0
pagi,0.0
pagif,0.0
pagiff,0.0
pacarku,0.0
pacaran,0.0
pacar,0.0
paan,0.0
no,0.0
ovi,0.0
ovo,0.0
owalaahhh,0.0
owh,0.0
owkwkw,0.0
owo,0.0
owondon,0.0
owonvtuberuprising,0.0
oyachuu,0.0
oyasusleep,0.0
oyen,0.0
pa,0.0
paaaaaaagiiiiiiiiiiii,0.0
paaaagggggiiiiii,0.0
paaaagiiiiiii,0.0
paaagi,0.0
pagiffnpai,0.0
pagii,0.0
palsu,0.0
paksa,0.0
pajang,0.0
pajek,0.0
pak,0.0
pakai,0.0
pake,0.0
pakek,0.0
paket,0.0
pakkkk,0.0
pala,0.0
pagiii,0.0
paladin,0.0
palak,0.0
palanya,0.0
palembang,0.0
paling,0.0
palingan,0.0
palit,0.0
palo,0.0
pajak,0.0
paisen,0.0
pain,0.0
paham,0.0
pagiiii,0.0
pagiiiii,0.0
pagiiiiii,0.0
pagiiiiiii,0.0
pagiiiiiiii,0.0
pagiiiiiiiii,0.0
pagiiiiiiiiii,0.0
pagiiiiiiiiiii,0.0
pagiiiiiiiiiiiiiiii,0.0
pagiiiiiiiiiiiiiiiiii,0.0
pagiijj,0.0
pagiiofi,0.0
pagiku,0.0
paginya,0.0
pagiy,0.0
pagy,0.0
pah,0.0
pekolandish,0.0
pekora,0.0
perut,0.0
percayalah,0.0
pera,0.0
perasaan,0.0
perayaan,0.0
perbanyak,0.0
perbatasan,0.0
perbedaan,0.0
percakapan,0.0
percaya,0.0
percayan,0.0
pepsodent,0.0
percintaan,0.0
percuma,0.0
perdamaiyan,0.0
perdana,0.0
perempuan,0.0
perfect,0.0
perform,0.0
pergerakan,0.0
per,0.0
pepper,0.0
pekorausada,0.0
penutupnya,0.0
penonton,0.0
pens,0.0
pensi,0.0
pensil,0.0
pentingnya,0.0
penuh,0.0
penuhi,0.0
penutupan,0.0
penyakit,0.0
pepet,0.0
penyambutan,0.0
penyanyi,0.0
penyebabnya,0.0
penyegar,0.0
penyelamat,0.0
penyesalan,0.0
penyiksaan,0.0
people,0.0
pergi,0.0
perginnew,0.0
perhatian,0.0
personal,0.0
perpustakaan,0.0
persediaan,0.0
persembahan,0.0
persembahkan,0.0
persia,0.0
persiapan,0.0
persis,0.0
persona,0.0
persyarata,0.0
perhatiannya,0.0
pertama,0.0
pertamakali,0.0
pertamaku,0.0
pertanda,0.0
pertanyaan,0.0
pertarungan,0.0
pertualang,0.0
pertumbuhan,0.0
perobotann,0.0
pernah,0.0
permudah,0.0
permirsaa,0.0
perhatiin,0.0
perhatikan,0.0
perifed,0.0
perih,0.0
perilaku,0.0
peringkat,0.0
periode,0.0
perjalanan,0.0
perjuangan,0.0
perkemahan,0.0
perkembangan,0.0
perkembangannya,0.0
perkenalan,0.0
perkenalkan,0.0
perlu,0.0
permalukan,0.0
permen,0.0
penjualnnya,0.0
penjelasan,0.0
penjara,0.0
pembuat,0.0
pembawaan,0.0
pembayaran,0.0
pembel,0.0
pemberian,0.0
pemberitahuan,0.0
pembicaraan,0.0
pembina,0.0
pembohong,0.0
pembuka,0.0
pen,0.0
pembukaan,0.0
pemenang,0.0
pemenangnya,0.0
pemilihan,0.0
pemiliknya,0.0
peminat,0.0
pemngen,0.0
pemulung,0.0
pembajak,0.0
pembacaan,0.0
pembaca,0.0
pemandu,0.0
pel,0.0
pelafala,0.0
pelajaran,0.0
pelajari,0.0
pelakunya,0.0
pelampiasan,0.0
pelan,0.0
pelanggan,0.0
pelangi,0.0
peliharaan,0.0
pelit,0.0
peluit,0.0
peluk,0.0
pemain,0.0
pemainnya,0.0
pemalak,0.0
pemanasan,0.0
pemumuman,0.0
penagih,0.0
penjaga,0.0
pengikutmu,0.0
pengenya,0.0
pengertiannya,0.0
pengganti,0.0
penggantikan,0.0
penggemar,0.0
pengguna,0.0
penghilang,0.0
pengikut,0.0
pengirimannya,0.0
penampilan,0.0
penguasa,0.0
penguin,0.0
pengumuman,0.0
penilaian,0.0
penimbun,0.0
peninggi,0.0
penipuan,0.0
penj,0.0
pengendinoticekobo,0.0
pengenalan,0.0
pengen,0.0
penge,0.0
penasaran,0.0
penat,0.0
pencapaian,0.0
pencet,0.0
pencuri,0.0
pendaftaran,0.0
pendapat,0.0
pendapatannya,0.0
pendatang,0.0
pendec,0.0
pendecc,0.0
pendek,0.0
pendiam,0.0
pendidikan,0.0
penebas,0.0
penelitian,0.0
pengalaman,0.0
noayo,0.0
nnyicil,0.0
nnyoba,0.0
mungkin,0.0
mumbling,0.0
mumpung,0.0
mun,0.0
muna,0.0
munc,0.0
muncul,0.0
munculah,0.0
mundur,0.0
munmun,0.0
muluu,0.0
munmuunnnnn,0.0
munyil,0.0
murah,0.0
murasaki,0.0
murid,0.0
musibah,0.0
musik,0.0
musiknya,0.0
muluuu,0.0
mulutnya,0.0
mu,0.0
muka,0.0
muah,0.0
muat,0.0
mubarak,0.0
much,0.0
muck,0.0
muda,0.0
mudah,0.0
mudahan,0.0
mukanya,0.0
mulut,0.0
mukbang,0.0
mukul,0.0
mula,0.0
mulai,0.0
mulaii,0.0
mulia,0.0
mulu,0.0
mulus,0.0
musim,0.0
muslim,0.0
musnahkan,0.0
nachieved,0.0
mythiii,0.0
myvt,0.0
na,0.0
naaaa,0.0
naaaaa,0.0
naaaahhhhh,0.0
naaah,0.0
nabrak,0.0
nackal,0.0
must,0.0
nada,0.0
naek,0.0
naeruseni,0.0
nafas,0.0
naga,0.0
nagar,0.0
nagensi,0.0
nagih,0.0
mythical,0.0
mythic,0.0
mythialive,0.0
mythiabatford,0.0
musti,0.0
mutan,0.0
muteki,0.0
mutiara,0.0
mutualan,0.0
mv,0.0
mwehehe,0.0
mwehehehe,0.0
mwhehe,0.0
mwheheheh,0.0
my,0.0
myanmar,0.0
myart,0.0
mylittlepony,0.0
myth,0.0
mythi,0.0
mythia,0.0
mua,0.0
msk,0.0
ramai,0.0
mommynstarts,0.0
moli,0.0
molly,0.0
molor,0.0
mom,0.0
momen,0.0
moment,0.0
momentum,0.0
mommy,0.0
momy,0.0
moja,0.0
momynya,0.0
monas,0.0
monchi,0.0
monda,0.0
mondaja,0.0
monday,0.0
monhun,0.0
monhunt,0.0
mole,0.0
mohon,0.0
msih,0.0
model,0.0
mobel,0.0
mobil,0.0
mobile,0.0
mochi,0.0
mod,0.0
modal,0.0
modar,0.0
mode,0.0
modelan,0.0
moga,0.0
modelku,0.0
modelnya,0.0
modelreveal,0.0
modelsendiri,0.0
modenvtuber,0.0
moderator,0.0
modus,0.0
modyar,0.0
monkeh,0.0
mono,0.0
monopoli,0.0
motsicknya,0.0
mosok,0.0
mother,0.0
motifmu,0.0
motion,0.0
motivasi,0.0
motogp,0.0
motor,0.0
motsick,0.0
mouse,0.0
monopoly,0.0
move,0.0
movie,0.0
movienya,0.0
mpls,0.0
mr,0.0
ms,0.0
msalahnya,0.0
msh,0.0
morning,0.0
morneng,0.0
mori,0.0
morgen,0.0
monster,0.0
monsternya,0.0
monsternyanzelinusvonvihnlock,0.0
monsternzelinusvonvihnlock,0.0
mood,0.0
moodbooster,0.0
moon,0.0
moona,0.0
moonie,0.0
moonsie,0.0
moonutau,0.0
moonyaa,0.0
mop,0.0
mor,0.0
morbius,0.0
more,0.0
morganmcrow,0.0
nagihnya,0.0
nah,0.0
naha,0.0
nbanyak,0.0
nbaecenzo,0.0
nbagi,0.0
nbaguslah,0.0
nbakal,0.0
nbalek,0.0
nbang,0.0
nbantai,0.0
nbantu,0.0
nbareng,0.0
nazi,0.0
nbaru,0.0
nbarusan,0.0
nbatosai,0.0
nbattle,0.0
nbbe,0.0
nbday,0.0
nbelajar,0.0
nbelajarnyunda,0.0
nazzramadhania,0.0
nazekk,0.0
nahan,0.0
natsuminie,0.0
nasib,0.0
naskargreshaqi,0.0
nasmr,0.0
nassalamualaikum,0.0
nasssjjkkkkkkkggsbrrrtkdkwk,0.0
nasumart,0.0
natau,0.0
national,0.0
naudisi,0.0
nayoo,0.0
